issue,type,evidence_pointer
6,Task,origin/main:docs/decisions/issue-6-oidc-workload-authentication.md:59 leaves an owner decision that can close the issue as won’t-do.
8,Feature,"origin/main:internal/api/actors.go:158 confirms actor registration exists, while origin/main:docs/triage/open-issues.md:8 still calls for verification of the remaining registration tooling."
10,Bug,"origin/main:adapters/claude-code/README.md:148 still documents `always_async` defaulting to false, preserving the sync-timeout condition described by the issue."
12,Task,origin/main:docs/decisions/issue-12-remaining-web-ux-scope.md:8 asks the owner to disposition the remaining UI scope.
13,Record,origin/main:adapters/claude-code/tests/test_mapping.py:595-613 proves bridge-measured changed files are distinct from model-claimed output; origin/main:internal/worker/handover_test.go:26 covers observed handover evidence.
50,Record,origin/main:docs/deviations/2026-08-15-headspace-egress-allowlist.md:4-32 records the measured allowlist deviation and its current cross-repo status.
54,Record,origin/main:adapters/human-inbox/tests/test_tracker.py:612-623 proves a GitHub merge is observed and auto-submitted with its merge commit.
61,Record,origin/main:tests/test_pr_upkeep_sweep.py:536 class TestCheckRunWorkItems names issue #61 in its docstring; test_recorded_fixture_yields_the_failed_lint_check covers the third CI-check finding source. (Citation corrected in review: the dispatch named a test test_failed_check_run_becomes_finding that does not exist.)
62,Record,"origin/main:adapters/colleague/src/colleague_bridge/colleague_cli.py:72 passes `--continue`, and origin/main:adapters/colleague/tests/test_mapping.py:286-301 proves the work-item ID becomes `continuation_ref`."
67,Record,origin/main:internal/worker/clarifygate_test.go:20 and origin/main:tests/lint/preflightsurface_test.go:3 cover the engine gate and all-backends surface.
71,Record,origin/main:examples/pr-upkeep/driver.sh:18 and origin/main:examples/pr-upkeep/README.md:58 document that idle now loops instead of parking on a human.
76,Feature,origin/main:tests/test_pr_upkeep_sweep.py:332 explicitly says Jira acceptance is fixture-only and the live backlog proof is absent.
80,Record,commit 95fd653 (`t8: declare continuation as a contract the engine evaluates (#80)`) and origin/main:internal/compiler/budget_test.go confirm the declared continuation machinery shipped.
87,Feature,"origin/main:docs/deliveries/2026-08-15-own-the-work-end-to-end.md:268-276 lists unverified handoff/deployment outcomes, so the end-to-end ownership goal is not complete."
88,Feature,origin/main:examples/development-loop/README.md:78 says coverage and complexity instruments still do not reach most of the repository.
